"title","url","stars","name","reviewUrl","text"
"The Strikers Lab Gym (Muay Thai, Kickboxing & Boxing)","https://www.google.com/maps/search/?api=1&query=The%20Strikers%20Lab%20Gym%20(Muay%20Thai%2C%20Kickboxing%20%26%20Boxing)&query_place_id=ChIJUZBLv4ibEmsRsKGyO3x3EnU","5","Antonio Logronio","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT205UlpHRmllbk16TVRoU1dWWmxSbll0VGtoUWNIYxAB!2m1!1s0x0:0x7512777c3bb2a1b0!3m1!1s2@1:CAIQACodChtycF9oOm9RZGFienMzMThSWVZlRnYtTkhQcHc%7C0ch3zW89g-Y%7C?hl=en","In the already competitive landscape of gyms in Western Sydney let alone combat sports/fight gyms, this is definitely a gym I highly recommend... The gym owner (coach Franz) while firm, is also very fair... He is a retired ex kick boxing/muay thai champion and runs a very professional gym which even offers kids classes, wrestling n boxing classes for all skill n fitness levels! 1 of the rare fight gyms wid elephant mats and a proper ring, body shields, shin guards n overall well kept equipment!"
"The Strikers Lab Gym (Muay Thai, Kickboxing & Boxing)","https://www.google.com/maps/search/?api=1&query=The%20Strikers%20Lab%20Gym%20(Muay%20Thai%2C%20Kickboxing%20%26%20Boxing)&query_place_id=ChIJUZBLv4ibEmsRsKGyO3x3EnU","5","Tristan Uru","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSURfcUtld1NBEAE!2m1!1s0x0:0x7512777c3bb2a1b0!3m1!1s2@1:CIHM0ogKEICAgID_qKewSA%7CCgwIlIO9vAYQ4MzMqwE%7C?hl=en","If you're looking for a top-tier gym that combines cutting-edge equipment with expert coaching, look no further than Strikers Lab. From the moment you walk in, you can tell this place is designed for serious athletes. The quality of the equipment is second to none—whether you’re hitting the bags, working on footwork, or using the strength and conditioning tools, everything is high-end and meticulously maintained.

What truly sets Strikers Lab apart, however, is Coach Franz. His expertise, passion, and personalized coaching style make a huge difference. He’s not just a coach; he's a mentor who knows how to push you to reach your potential while ensuring that every movement is precise and effective. Whether you're a beginner or a seasoned pro, Coach Franz will meet you where you're at and help you improve.

The atmosphere at Strikers Lab is also incredibly motivating. It’s clear that everyone here is serious about their training, and the community vibe makes it even more rewarding. If you’re serious about leveling up your fitness or combat skills, Strikers Lab is hands down one of the best places you can train. Highly recommend!"
"The Strikers Lab Gym (Muay Thai, Kickboxing & Boxing)","https://www.google.com/maps/search/?api=1&query=The%20Strikers%20Lab%20Gym%20(Muay%20Thai%2C%20Kickboxing%20%26%20Boxing)&query_place_id=ChIJUZBLv4ibEmsRsKGyO3x3EnU","1","Happy GoLucky","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSURfc0otYVJREAE!2m1!1s0x0:0x7512777c3bb2a1b0!3m1!1s2@1:CIHM0ogKEICAgID_sJ-aRQ%7CCgwIzsq7vAYQgOyq2gM%7C?hl=en","BEWARE NEW JOINERS! Prices are cheap for a reason. This review is from a customer’s standpoint who came in for a trial.

There is really only one trainer/owner here who is always on his phone. The instructor/owner has a very bad attitude. Came in for a trial, no introduction, no interest in what my fighting experience has been or anything.

Had been to the intermediate and beginner class, there is not much difference at all. Only one ring which doesn’t get used.

If all you want to do is some combos which you cannot use in a real fight, low grade equipment (thai pads) and an instructor who is always on their phone, then yes join this place."
"The Strikers Lab Gym (Muay Thai, Kickboxing & Boxing)","https://www.google.com/maps/search/?api=1&query=The%20Strikers%20Lab%20Gym%20(Muay%20Thai%2C%20Kickboxing%20%26%20Boxing)&query_place_id=ChIJUZBLv4ibEmsRsKGyO3x3EnU","5","Tyrone Campbell","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSURmcy1EYlBREAE!2m1!1s0x0:0x7512777c3bb2a1b0!3m1!1s2@1:CIHM0ogKEICAgIDfs-DbPQ%7CCgwIgsWCvAYQkMr0sgM%7C?hl=en","Best gym ever I recommend going coach Franz knows his tuff"
"The Strikers Lab Gym (Muay Thai, Kickboxing & Boxing)","https://www.google.com/maps/search/?api=1&query=The%20Strikers%20Lab%20Gym%20(Muay%20Thai%2C%20Kickboxing%20%26%20Boxing)&query_place_id=ChIJUZBLv4ibEmsRsKGyO3x3EnU","5","Dominic Ngen","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSUQzN29DWW9BRRAB!2m1!1s0x0:0x7512777c3bb2a1b0!3m1!1s2@1:CIHM0ogKEICAgID37oCYoAE%7CCgwIuJfcuQYQ8JThpQE%7C?hl=en","I’ve made a review before but it wasn’t a serious review but more of a humorous review, Here is my honest and serious thought about the Strikers Lab Gym.

The coach Franz ""Dirty"" Sanchez was able to turn me, a MMA fighter that primarily focuses on Judo, Wrestling, Brazilian Jiujutsu, Japanese Jiujutsu, Kempo Jiujutsu, Gojo Ryu Karate and Capoeira, into an even better MMA fighter by teaching me well with Muay Thai, Boxing and Kickboxing.

I find that The Strikers Lab Gym is one of the best Martial Art Gyms in Sydney and highly recommended if it is your first time doing Martial Arts or if your experienced and need a place to train.

100/10 Highly Recommended"
"The Strikers Lab Gym (Muay Thai, Kickboxing & Boxing)","https://www.google.com/maps/search/?api=1&query=The%20Strikers%20Lab%20Gym%20(Muay%20Thai%2C%20Kickboxing%20%26%20Boxing)&query_place_id=ChIJUZBLv4ibEmsRsKGyO3x3EnU","5","Tyson","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSURYMzY2REl3EAE!2m1!1s0x0:0x7512777c3bb2a1b0!3m1!1s2@1:CIHM0ogKEICAgIDX366DIw%7CCgwI0JGTuQYQqMmd7QI%7C?hl=en",
"The Strikers Lab Gym (Muay Thai, Kickboxing & Boxing)","https://www.google.com/maps/search/?api=1&query=The%20Strikers%20Lab%20Gym%20(Muay%20Thai%2C%20Kickboxing%20%26%20Boxing)&query_place_id=ChIJUZBLv4ibEmsRsKGyO3x3EnU","5","FullForce Gym","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSURYM19iRjh3RRAB!2m1!1s0x0:0x7512777c3bb2a1b0!3m1!1s2@1:CIHM0ogKEICAgIDX3_bF8wE%7CCgwI05CTuQYQqOCH1gI%7C?hl=en","Awesome ppl / Awesome training.
Definitely 100% good place to train."
"The Strikers Lab Gym (Muay Thai, Kickboxing & Boxing)","https://www.google.com/maps/search/?api=1&query=The%20Strikers%20Lab%20Gym%20(Muay%20Thai%2C%20Kickboxing%20%26%20Boxing)&query_place_id=ChIJUZBLv4ibEmsRsKGyO3x3EnU","5","Ewan Rogers","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSURYbTdfY0NnEAE!2m1!1s0x0:0x7512777c3bb2a1b0!3m1!1s2@1:CIHM0ogKEICAgIDXm7_cCg%7CCgwI1KqNuQYQ0Jru4gE%7C?hl=en","The Strikers Lab gym is one of the most welcoming communities I have encountered. From the kind natured people who train there, to the elite coach Franz, the gym is as a whole one you will be sure to enjoy. Franz’s national champion title status speaks for itself. Franz tries to get the best out of you and will do his best to help you achieve your goals. His people skills allows for great communication and his empathetic nature creates a comfortable environment. His depth of knowledge is rare to encounter and should not be overlooked. If you don’t believe this review, get to the gym try it for yourself."
"The Strikers Lab Gym (Muay Thai, Kickboxing & Boxing)","https://www.google.com/maps/search/?api=1&query=The%20Strikers%20Lab%20Gym%20(Muay%20Thai%2C%20Kickboxing%20%26%20Boxing)&query_place_id=ChIJUZBLv4ibEmsRsKGyO3x3EnU","5","Sarosh Pereira","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSUNYNmNXbFl3EAE!2m1!1s0x0:0x7512777c3bb2a1b0!3m1!1s2@1:CIHM0ogKEICAgICX6cWlYw%7CCgwImv7HuAYQ0JassAI%7C?hl=en","W spot"
"The Strikers Lab Gym (Muay Thai, Kickboxing & Boxing)","https://www.google.com/maps/search/?api=1&query=The%20Strikers%20Lab%20Gym%20(Muay%20Thai%2C%20Kickboxing%20%26%20Boxing)&query_place_id=ChIJUZBLv4ibEmsRsKGyO3x3EnU","5","OfficialStephenKovacs","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSUNYOGYycTlBRRAB!2m1!1s0x0:0x7512777c3bb2a1b0!3m1!1s2@1:CIHM0ogKEICAgICX8f2q9AE%7CCgwIs_7FuAYQuKL03QI%7C?hl=en","I joined The Strikers Lab after years of contemplating. I had been in to a few gyms and never felt welcomed or like they had time to even talk to you unless you were part of the “fight team”. This place is different! Immediately welcome and the vibe is awesome. There are no egos here and just a passion to learn and be better every day. High quality training and everyone is treated equally so if you pick The Strikers Lab to train at you’ll feel right at home."
"The Strikers Lab Gym (Muay Thai, Kickboxing & Boxing)","https://www.google.com/maps/search/?api=1&query=The%20Strikers%20Lab%20Gym%20(Muay%20Thai%2C%20Kickboxing%20%26%20Boxing)&query_place_id=ChIJUZBLv4ibEmsRsKGyO3x3EnU","5","Jennifer Nguyen","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSUNYOFp6bEV3EAE!2m1!1s0x0:0x7512777c3bb2a1b0!3m1!1s2@1:CIHM0ogKEICAgICX8ZzlEw%7CCgwIpuDFuAYQkIv-jAM%7C?hl=en","I joined The Strikers Lab Gym this year, and training with Franz has been a game changer. He’s created such a friendly and welcoming environment, but he’s also firm and pushes you to reach your full potential."
"The Strikers Lab Gym (Muay Thai, Kickboxing & Boxing)","https://www.google.com/maps/search/?api=1&query=The%20Strikers%20Lab%20Gym%20(Muay%20Thai%2C%20Kickboxing%20%26%20Boxing)&query_place_id=ChIJUZBLv4ibEmsRsKGyO3x3EnU","5","David Mansour","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSUNYd2RIdDd3RRAB!2m1!1s0x0:0x7512777c3bb2a1b0!3m1!1s2@1:CIHM0ogKEICAgICXwdHt7wE%7CCgwI27zDuAYQqKLGvQE%7C?hl=en","One of the best  Muay Thai gyms in Sydney.

You get
-Affordable payment options.
-Amazing training for beginners and fighters
-Feedback with incredible attention to detail to improve your skills.
-A great community of people from all different ages and backgrounds.
-First 3 lessons free.

If you ever wanted to try Muay Thai, give Strikers Lab a go. You can't go wrong."
"The Strikers Lab Gym (Muay Thai, Kickboxing & Boxing)","https://www.google.com/maps/search/?api=1&query=The%20Strikers%20Lab%20Gym%20(Muay%20Thai%2C%20Kickboxing%20%26%20Boxing)&query_place_id=ChIJUZBLv4ibEmsRsKGyO3x3EnU","5","Caleb Walker","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSUNYd2ZhVk9REAE!2m1!1s0x0:0x7512777c3bb2a1b0!3m1!1s2@1:CIHM0ogKEICAgICXwfaVOQ%7CCgwImbbDuAYQwOSJ1wE%7C?hl=en","Strikers has an amazing group community all the boys are supportive including the coach, great atmosphere and a great gym for beginners and or anyone who is looking to improve their muay thai/boxing skills. DEFIANTLY recommend the strikers lab."
"The Strikers Lab Gym (Muay Thai, Kickboxing & Boxing)","https://www.google.com/maps/search/?api=1&query=The%20Strikers%20Lab%20Gym%20(Muay%20Thai%2C%20Kickboxing%20%26%20Boxing)&query_place_id=ChIJUZBLv4ibEmsRsKGyO3x3EnU","5","Kade Walker","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSUNYd2JhdmJBEAE!2m1!1s0x0:0x7512777c3bb2a1b0!3m1!1s2@1:CIHM0ogKEICAgICXwbavbA%7CCgsI9bXDuAYQ8LTdCg%7C?hl=en","Great gym"
"The Strikers Lab Gym (Muay Thai, Kickboxing & Boxing)","https://www.google.com/maps/search/?api=1&query=The%20Strikers%20Lab%20Gym%20(Muay%20Thai%2C%20Kickboxing%20%26%20Boxing)&query_place_id=ChIJUZBLv4ibEmsRsKGyO3x3EnU","5","James hunt","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSUNYd2JhTE9BEAE!2m1!1s0x0:0x7512777c3bb2a1b0!3m1!1s2@1:CIHM0ogKEICAgICXwbaLOA%7CCgwI5bXDuAYQ8L3rqAI%7C?hl=en",
"The Strikers Lab Gym (Muay Thai, Kickboxing & Boxing)","https://www.google.com/maps/search/?api=1&query=The%20Strikers%20Lab%20Gym%20(Muay%20Thai%2C%20Kickboxing%20%26%20Boxing)&query_place_id=ChIJUZBLv4ibEmsRsKGyO3x3EnU","5","dominic ngen","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSUNYd1phYWZnEAE!2m1!1s0x0:0x7512777c3bb2a1b0!3m1!1s2@1:CIHM0ogKEICAgICXwZaafg%7CCgwI0rTDuAYQ2OqB5gE%7C?hl=en","First day as a member and already got punched in the face.

10/10 Recommend"
"The Strikers Lab Gym (Muay Thai, Kickboxing & Boxing)","https://www.google.com/maps/search/?api=1&query=The%20Strikers%20Lab%20Gym%20(Muay%20Thai%2C%20Kickboxing%20%26%20Boxing)&query_place_id=ChIJUZBLv4ibEmsRsKGyO3x3EnU","5","yandi kalemba","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSUNYd2Vid09BEAE!2m1!1s0x0:0x7512777c3bb2a1b0!3m1!1s2@1:CIHM0ogKEICAgICXwebwOA%7CCgsIgrTDuAYQkM3-YQ%7C?hl=en","Best gym ever. Coach Franz know his stuff"
"The Strikers Lab Gym (Muay Thai, Kickboxing & Boxing)","https://www.google.com/maps/search/?api=1&query=The%20Strikers%20Lab%20Gym%20(Muay%20Thai%2C%20Kickboxing%20%26%20Boxing)&query_place_id=ChIJUZBLv4ibEmsRsKGyO3x3EnU","5","Tiuli Fepuleai","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSURIcTRhOTRnRRAB!2m1!1s0x0:0x7512777c3bb2a1b0!3m1!1s2@1:CIHM0ogKEICAgIDHq4a94gE%7CCgwI-6iztwYQ4MnF_gI%7C?hl=en","6am morning classes is the best way to start the day, top quality training and facility"
"The Strikers Lab Gym (Muay Thai, Kickboxing & Boxing)","https://www.google.com/maps/search/?api=1&query=The%20Strikers%20Lab%20Gym%20(Muay%20Thai%2C%20Kickboxing%20%26%20Boxing)&query_place_id=ChIJUZBLv4ibEmsRsKGyO3x3EnU","5","Liam Jury","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSURINHVyUnJnRRAB!2m1!1s0x0:0x7512777c3bb2a1b0!3m1!1s2@1:CIHM0ogKEICAgIDH4urRrgE%7CCgwIvoeUtwYQkPGuxQM%7C?hl=en","One of the best gyms western Sydney Franz an awesome trainer I recommend 100%"
